termdays,bank_account_type,employment_status_clients,repaymentrank,avgloanamtrank,rankloanamt,rankloannum,isreffered,agerank,good_bad_flag
30,Savings,Permanent,3,2,1,1,1,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Other,Self-Employed,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,2,1,0,1,Bad
15,Savings,Student,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,2,Bad
30,Savings,Permanent,2,2,1,1,1,1,Bad
15,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Student,2,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
60,Other,Self-Employed,2,3,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Other,Self-Employed,3,2,1,1,0,1,Bad
60,Other,Self-Employed,3,3,2,1,0,1,Bad
30,Savings,Student,3,2,1,1,0,1,Bad
30,Other,Self-Employed,3,2,2,1,0,1,Bad
15,Savings,Permanent,3,2,1,1,1,1,Bad
60,Other,Self-Employed,3,2,2,1,0,1,Bad
30,Savings,Permanent,3,2,2,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Other,Self-Employed,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,1,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Unemployed,3,2,1,1,0,1,Bad
30,Other,Permanent,3,3,2,1,0,1,Bad
90,Other,Permanent,3,3,3,1,0,1,Bad
30,Savings,Permanent,3,3,2,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Student,3,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
90,Other,Permanent,4,4,3,2,0,1,Bad
30,Other,Permanent,3,3,2,1,0,1,Bad
30,Current,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
60,Savings,Permanent,2,2,2,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,2,Bad
30,Other,Permanent,3,3,2,1,0,1,Bad
30,Current,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,1,1,Bad
30,Savings,Permanent,2,2,2,1,0,1,Bad
60,Savings,Self-Employed,2,2,2,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,1,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,2,1,0,1,Bad
30,Savings,Self-Employed,3,2,1,1,0,1,Bad
30,Savings,Self-Employed,3,1,1,1,0,1,Bad
15,Other,Self-Employed,2,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,1,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
